organization,industry,priority_score,urgency_bucket,target_role,contact_name,email,phone,ready_channel,status,approach_subject,approach_opening,research_query_1,research_query_2,research_query_3,research_query_4,website,source_url,next_action
PwC Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at PwC Kenya,"Hi {{name}}, we help teams like PwC Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",PwC Kenya Kenya Managing Partner email,site:linkedin.com/in PwC Kenya Managing Partner Kenya,site:pwc.com Managing Partner,"""PwC Kenya"" ""contact"" Kenya",https://www.pwc.com/ke,https://www.pwc.com/ke,Find decision-maker email/phone then send first-touch value message
KPMG Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at KPMG Kenya,"Hi {{name}}, we help teams like KPMG Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",KPMG Kenya Kenya Managing Partner email,site:linkedin.com/in KPMG Kenya Managing Partner Kenya,site:kpmg.com Managing Partner,"""KPMG Kenya"" ""contact"" Kenya",https://kpmg.com/ke,https://kpmg.com/ke,Find decision-maker email/phone then send first-touch value message
EY Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at EY Kenya,"Hi {{name}}, we help teams like EY Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",EY Kenya Kenya Managing Partner email,site:linkedin.com/in EY Kenya Managing Partner Kenya,site:ey.com Managing Partner,"""EY Kenya"" ""contact"" Kenya",https://www.ey.com/en_ke,https://www.ey.com/en_ke,Find decision-maker email/phone then send first-touch value message
Bowmans Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at Bowmans Kenya,"Hi {{name}}, we help teams like Bowmans Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Bowmans Kenya Kenya Managing Partner email,site:linkedin.com/in Bowmans Kenya Managing Partner Kenya,site:bowmanslaw.com Managing Partner,"""Bowmans Kenya"" ""contact"" Kenya",https://www.bowmanslaw.com,https://www.bowmanslaw.com,Find decision-maker email/phone then send first-touch value message
Anjarwalla & Khanna,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at Anjarwalla & Khanna,"Hi {{name}}, we help teams like Anjarwalla & Khanna improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Anjarwalla & Khanna Kenya Managing Partner email,site:linkedin.com/in Anjarwalla & Khanna Managing Partner Kenya,site:africalegalnetwork.com Managing Partner,"""Anjarwalla & Khanna"" ""contact"" Kenya",https://www.africalegalnetwork.com/member/anjarwalla-khanna,https://www.africalegalnetwork.com/member/anjarwalla-khanna,Find decision-maker email/phone then send first-touch value message
MMC Africa Law,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at MMC Africa Law,"Hi {{name}}, we help teams like MMC Africa Law improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",MMC Africa Law Kenya Managing Partner email,site:linkedin.com/in MMC Africa Law Managing Partner Kenya,site:mmcafrica.com Managing Partner,"""MMC Africa Law"" ""contact"" Kenya",https://mmcafrica.com,https://mmcafrica.com,Find decision-maker email/phone then send first-touch value message
Oraro & Company Advocates,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at Oraro & Company Advocates,"Hi {{name}}, we help teams like Oraro & Company Advocates improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Oraro & Company Advocates Kenya Managing Partner email,site:linkedin.com/in Oraro & Company Advocates Managing Partner Kenya,site:oraro.co.ke Managing Partner,"""Oraro & Company Advocates"" ""contact"" Kenya",https://www.oraro.co.ke,https://www.oraro.co.ke,Find decision-maker email/phone then send first-touch value message
Cliffe Dekker Hofmeyr Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at Cliffe Dekker Hofmeyr Kenya,"Hi {{name}}, we help teams like Cliffe Dekker Hofmeyr Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Cliffe Dekker Hofmeyr Kenya Kenya Managing Partner email,site:linkedin.com/in Cliffe Dekker Hofmeyr Kenya Managing Partner Kenya,site:cliffedekkerhofmeyr.com Managing Partner,"""Cliffe Dekker Hofmeyr Kenya"" ""contact"" Kenya",https://www.cliffedekkerhofmeyr.com,https://www.cliffedekkerhofmeyr.com,Find decision-maker email/phone then send first-touch value message
Grant Thornton Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at Grant Thornton Kenya,"Hi {{name}}, we help teams like Grant Thornton Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Grant Thornton Kenya Kenya Managing Partner email,site:linkedin.com/in Grant Thornton Kenya Managing Partner Kenya,site:grantthornton.co.ke Managing Partner,"""Grant Thornton Kenya"" ""contact"" Kenya",https://www.grantthornton.co.ke,https://www.grantthornton.co.ke,Find decision-maker email/phone then send first-touch value message
DHL Kenya,logistics,74,warm,Operations Manager,,,,,new,Quick revenue workflow idea for DHL Kenya,"Hi {{name}}, we help teams like DHL Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",DHL Kenya Kenya Operations Manager email,site:linkedin.com/in DHL Kenya Operations Manager Kenya,site:dhl.com Operations Manager,"""DHL Kenya"" ""contact"" Kenya",https://www.dhl.com/ke-en,https://www.dhl.com/ke-en,Find decision-maker email/phone then send first-touch value message
FedEx Kenya,logistics,74,warm,Operations Manager,,,,,new,Quick revenue workflow idea for FedEx Kenya,"Hi {{name}}, we help teams like FedEx Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",FedEx Kenya Kenya Operations Manager email,site:linkedin.com/in FedEx Kenya Operations Manager Kenya,site:fedex.com Operations Manager,"""FedEx Kenya"" ""contact"" Kenya",https://www.fedex.com/en-ke/home.html,https://www.fedex.com/en-ke/home.html,Find decision-maker email/phone then send first-touch value message
G4S Kenya,logistics,74,warm,Operations Manager,,,,,new,Quick revenue workflow idea for G4S Kenya,"Hi {{name}}, we help teams like G4S Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",G4S Kenya Kenya Operations Manager email,site:linkedin.com/in G4S Kenya Operations Manager Kenya,site:g4s.com Operations Manager,"""G4S Kenya"" ""contact"" Kenya",https://www.g4s.com/en-ke,https://www.g4s.com/en-ke,Find decision-maker email/phone then send first-touch value message
Siginon Group,logistics,74,warm,Operations Manager,,,,,new,Quick revenue workflow idea for Siginon Group,"Hi {{name}}, we help teams like Siginon Group improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Siginon Group Kenya Operations Manager email,site:linkedin.com/in Siginon Group Operations Manager Kenya,site:siginon.com Operations Manager,"""Siginon Group"" ""contact"" Kenya",https://www.siginon.com,https://www.siginon.com,Find decision-maker email/phone then send first-touch value message
Sokowatch Twiga Logistics,logistics,74,warm,Operations Manager,,,,,new,Quick revenue workflow idea for Sokowatch Twiga Logistics,"Hi {{name}}, we help teams like Sokowatch Twiga Logistics improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Sokowatch Twiga Logistics Kenya Operations Manager email,site:linkedin.com/in Sokowatch Twiga Logistics Operations Manager Kenya,site:twiga.com Operations Manager,"""Sokowatch Twiga Logistics"" ""contact"" Kenya",https://www.twiga.com,https://www.twiga.com,Find decision-maker email/phone then send first-touch value message
Sendy,logistics,74,warm,Operations Manager,,,,,new,Quick revenue workflow idea for Sendy,"Hi {{name}}, we help teams like Sendy improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Sendy Kenya Operations Manager email,site:linkedin.com/in Sendy Operations Manager Kenya,site:sendyit.com Operations Manager,"""Sendy"" ""contact"" Kenya",https://sendyit.com,https://sendyit.com,Find decision-maker email/phone then send first-touch value message
